,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
335,0.00786433219909668,0.0014659537887812468,0.0038399696350097656,0.0002276796818053123,0.1,10.0,5,scale,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly'}",0.9593434343434344,0.719449485783424,0.8845029239766081,0.8672615446662633,0.8171992481203008,0.8495513273780061,0.07945151838913503,289
336,0.0047966957092285155,9.215072701337168e-05,0.00397648811340332,7.444352026021814e-05,0.1,100.0,2,0.01,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.9727272727272728,0.8564586754241927,0.8064814814814816,0.8855034957318969,0.8573674752920036,0.8757076801313696,0.054786701353586056,124
337,0.004000282287597657,0.000112575749396452,0.0037765979766845705,3.097988668463621e-05,0.1,100.0,2,0.1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",1.0,0.8068181818181819,0.8335858585858585,0.9355130249867092,0.8573674752920036,0.8866569081365506,0.0711086577341315,33
338,0.004101943969726562,0.00014247990037221013,0.004106283187866211,0.0002765654284378303,0.1,100.0,2,1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",1.0,0.7867965367965368,0.7486727647744598,0.9355130249867092,0.8848096348096348,0.871158392273468,0.09278759255345663,165
339,0.004698944091796875,0.0002487565995431936,0.0038320064544677735,0.0001373582881800715,0.1,100.0,2,10,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 10, 'kernel': 'poly'}",0.9178362573099416,0.7867965367965368,0.7868341404358354,0.9355130249867092,0.9080712788259958,0.8670102476710037,0.06606719249208572,205
340,0.004035806655883789,9.408682272818195e-05,0.0038804531097412108,7.176080804394852e-05,0.1,100.0,2,auto,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",1.0,0.8068181818181819,0.8335858585858585,0.9085769980506823,0.8573674752920036,0.8812697027493452,0.06816255027872255,87
341,0.004212665557861328,0.00018644524351341777,0.0040967464447021484,0.0004961834441466986,0.1,100.0,2,scale,poly,"{'C': 0.1, 'coef0': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1.0,0.7867965367965368,0.7486727647744598,0.9355130249867092,0.8848096348096348,0.871158392273468,0.09278759255345663,165
342,0.004086065292358399,0.00018499815528818077,0.0037865638732910156,5.35084809472649e-05,0.1,100.0,3,0.01,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",1.0,0.8068181818181819,0.7486727647744598,0.9355130249867092,0.8848096348096348,0.875162721277797,0.08943182143664159,132
343,0.005521821975708008,0.0006625913444636046,0.003919458389282227,0.00016154153532659248,0.1,100.0,3,0.1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.9178362573099416,0.7840909090909092,0.8135989691743483,0.9355130249867092,0.8848096348096348,0.8671697590743086,0.05885743130661093,199
344,0.010430192947387696,0.0025880694599919635,0.0038823604583740233,7.597938900042478e-05,0.1,100.0,3,1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.8875,0.736038961038961,0.8371420222092344,0.8964076858813701,0.8807692307692307,0.8475715799797591,0.059379506138006605,301
345,0.036969327926635744,0.01640961401425844,0.0038953304290771486,0.0002633286050898413,0.1,100.0,3,10,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.6766283524904214,0.8371420222092344,0.8887790597182612,0.709577922077922,0.8142941581678548,0.106795769694259,378
346,0.005980348587036133,0.0010000119312369314,0.0038958072662353517,0.00018472424103237623,0.1,100.0,3,auto,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.9178362573099416,0.7638888888888888,0.8135989691743483,0.9355130249867092,0.8848096348096348,0.8631293550339045,0.06481389450990721,238
347,0.014587116241455079,0.004080615977266689,0.0038352012634277344,0.00013047165658299542,0.1,100.0,3,scale,poly,"{'C': 0.1, 'coef0': 100, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.8875,0.7435064935064934,0.8371420222092344,0.8964076858813701,0.8610666950929183,0.8451245793380032,0.05489943703561405,305
348,0.010687017440795898,0.0024451803516091866,0.0037182331085205077,4.3932878619411525e-05,0.1,100.0,4,0.01,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.8386198547215495,0.8296992481203007,0.7868341404358354,0.9277360066833751,0.9176672384219554,0.8601112976766032,0.054114885632562504,256
349,0.05188660621643067,0.012695856807332456,0.0038838863372802736,0.00010749652589201559,0.1,100.0,4,0.1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",0.8802681992337165,0.7033834586466166,0.8371420222092344,0.8758822343214357,0.8525157232704403,0.8298383275362887,0.06514853092821271,353
350,0.10420889854431152,0.061403049113481614,0.003834104537963867,7.718866948177974e-05,0.1,100.0,4,1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",0.9291666666666667,0.731578947368421,0.7973365617433414,0.8598997493734336,0.8257290418307367,0.8287421933965199,0.06556211907290874,356
351,0.015790462493896484,0.005578858445206005,0.0040417671203613285,0.0002641507256848643,0.1,100.0,4,10,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.719449485783424,0.7868341404358354,0.8672615446662633,0.7494252873563217,0.8164627785170557,0.08692394012509176,370
352,0.03431601524353027,0.00751024535533522,0.003931570053100586,2.4997548475802744e-05,0.1,100.0,4,auto,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly'}",0.935823754789272,0.679380268853953,0.8135989691743483,0.8206140350877194,0.8703703703703703,0.8239574796551326,0.08448581795891688,363
353,0.08276300430297852,0.055738928587071336,0.0047647953033447266,0.0008336443680354094,0.1,100.0,4,scale,poly,"{'C': 0.1, 'coef0': 100, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9291666666666667,0.6606775559588627,0.777905569007264,0.808455565142364,0.7988095238095237,0.7950029761169362,0.08547630975804196,415
354,0.019539594650268555,0.00893554443931123,0.004006004333496094,0.00010761091700199031,0.1,100.0,5,0.01,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.967984934086629,0.6261770244821092,0.7439108600125549,0.7861842105263157,0.8573674752920036,0.7963249008799225,0.11401204148243413,411
355,0.2678917407989502,0.11024650031843927,0.004181003570556641,0.00013269227519787375,0.1,100.0,5,0.1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.9090643274853801,0.6938283208020051,0.777905569007264,0.8475355054302421,0.7930817610062894,0.8042830967462361,0.07193243856987966,388
356,0.11697335243225097,0.0693108437863468,0.004015827178955078,0.00014311261445946398,0.1,100.0,5,1,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}",0.9291666666666667,0.6606775559588627,0.7404995539696699,0.8370688373476063,0.8257290418307367,0.7986283311547084,0.09128170593049544,400
357,0.011302471160888672,0.0034375987868499464,0.003888988494873047,0.00010436184453664901,0.1,100.0,5,10,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.719449485783424,0.7868341404358354,0.8672615446662633,0.8369252873563218,0.8339627785170558,0.0802150807282823,336
358,0.08862905502319336,0.03689514258531915,0.004064607620239258,0.00011929007653807195,0.1,100.0,5,auto,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}",0.8821428571428571,0.7228070175438596,0.694782319707544,0.8694776714513557,0.8336363636363637,0.800569245896396,0.07711536468268657,395
359,0.060166788101196286,0.031579643405012646,0.003921985626220703,6.976064067663175e-05,0.1,100.0,5,scale,poly,"{'C': 0.1, 'coef0': 100, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly'}",0.9291666666666667,0.6606775559588627,0.7868341404358354,0.808455565142364,0.7988095238095237,0.7967886904026505,0.08519326536554829,406
360,0.007289695739746094,0.00011811213094780499,0.004277849197387695,0.00014440536058149027,1.0,0.0,2,0.01,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.15263157894736842,0.15053763440860216,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.07802514701902022,0.060064697318134255,523
361,0.00610194206237793,0.00011243195310123004,0.004217100143432617,6.2939145258627e-05,1.0,0.0,2,0.1,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.8460098724804608,0.5969696969696969,0.7731842737094838,0.7591200466200466,0.6363636363636364,0.7223295052286649,0.09202368911654461,437
362,0.0039752483367919925,3.235564122214634e-05,0.003933572769165039,7.559163978410113e-05,1.0,0.0,2,1,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",1.0,0.8564586754241927,0.8335858585858585,0.9085769980506823,0.8573674752920036,0.8911978014705474,0.05968314450391035,19
363,0.004687309265136719,0.00044375312415058653,0.004202556610107422,0.00021430652348873586,1.0,0.0,2,10,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 10, 'kernel': 'poly'}",0.9178362573099416,0.8564586754241927,0.8135989691743483,0.9355130249867092,0.8703703703703703,0.8787554594531123,0.04372997719832785,101
364,0.005963325500488281,0.0006361442869876508,0.004273414611816406,0.00013882047426188172,1.0,0.0,2,auto,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.9224358974358975,0.6645608628659476,0.776424963924964,0.8676767676767677,0.7493265993265993,0.7960850182460353,0.09051120834769838,414
365,0.0041176795959472655,8.791827265349781e-05,0.003983068466186524,0.0002205219727501469,1.0,0.0,2,scale,poly,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1.0,0.8564586754241927,0.7486727647744598,0.9355130249867092,0.8253205128205128,0.8731929956011749,0.08722488451322416,153
366,0.007379341125488281,8.846921597515837e-05,0.004240608215332032,7.642133329782766e-05,1.0,0.0,3,0.01,poly,"{'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.15263157894736842,0.15053763440860216,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.07802514701902022,0.060064697318134255,523
367,0.006994056701660156,0.00012878103133732928,0.0043853759765625,0.00020197927087728748,1.0,0.0,3,0.1,poly,"{'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.5908920187793427,0.2689684569479966,0.5251955821445007,0.383982683982684,0.2828396699086354,0.4103756823526319,0.12862953419401382,466
368,0.004128408432006836,0.0002187080253888638,0.003850221633911133,0.00012394170973439536,1.0,0.0,3,1,poly,"{'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",1.0,0.8176452784503632,0.8335858585858585,0.8964076858813701,0.8070324283559578,0.8709342502547098,0.0715889983141735,176
369,0.017476272583007813,0.006112798836549268,0.003842878341674805,0.00018589399832150323,1.0,0.0,3,10,poly,"{'C': 1, 'coef0': 0, 'degree': 3, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.7884711779448621,0.8845029239766081,0.9678362573099415,0.763961038961039,0.872822966507177,0.08439891195150012,155
